id,category,difficulty,prompt_original,prompt_paraphrase,prompt_typo_variant
1,open_ended,medium,Describe the feeling of being in nature.,How would you express the experience of spending time in nature?,Desdribe the feeling of being in nature.
2,math,easy,What is 15 × 19?,Multiply 15 by 19.,Wbat is 15 × 19?
3,math,easy,What is the square root of 256?,Find the value of √256.,What is the square root of 256?
4,open_ended,medium,What makes a good leader?,What qualities contribute to strong leadership?,Wat makes a good leader?
5,factual,easy,What is the boiling point of water in Celsius?,At what temperature does water boil in Celsius?,What is the boiling point of water in Celsis?
6,open_ended,medium,Why do people enjoy music?,What makes music enjoyable to humans?,Why do peoole enjy music?
7,coding,easy,What does len('apple') return?,What is the length output of len('apple')?,What deos len('aple') return?
8,reasoning,medium,"If A > B and B > C, is A > C?",Does A exceed C if A is greater than B and B exceeds C?,"If A > B and B > C, is A > C?"
9,math,easy,What is 980 / 20?,Calculate 980 divided by 20.,Wht is 980 / 20?
10,factual,easy,What is the largest desert in the world?,Which desert is considered the world's largest?,Waht is the largest deseet in the world?
11,instruction,easy,Define an algorithm.,Give a simple definition of an algorithm.,Dedine an akgorithm.
12,math,easy,Solve for x: 5x = 125.,What is x if 5x equals 125?,Sove for x: 5x = 125.
13,instruction,easy,Summarize the plot of 'Alice in Wonderland' in one sentence.,Provide a one-sentence summary of 'Alice in Wonderland'.,Summarize the plot of 'Ailce in Wonderand' in one sentence.
14,instruction,easy,Explain gravity simply.,Describe gravity in simple terms.,Exolain gravity sikply.
15,coding,easy,How do you define a function in Python?,What is the syntax to create a function in Python?,How do you define a functipn in Pytgon?
16,reasoning,medium,Can two odd numbers sum to an even number?,Does adding two odd numbers result in an even number?,Can two odd numbres sum to an even number?
17,reasoning,medium,"If all birds have feathers and a penguin is a bird, does it have feathers?","Given penguins are birds, do they possess feathers?","If all birds hafe feathers and a penguin is a bird, does it have featjers?"
18,coding,easy,What does return do in a Python function?,Explain the role of the return keyword.,What des retkrn do in a Python function?
19,reasoning,medium,Are all squares rectangles?,Does a square fall under the category of rectangles?,Are all squaees recangles?
20,factual,easy,Who discovered penicillin?,Which scientist is credited with the discovery of penicillin?,Who disovered penicillin?
21,open_ended,medium,Why do humans value art?,Explain why art is meaningful to people.,Why do humasn vapue art?
22,reasoning,medium,"If 2x = 10, solve for x.",Find x: 2x equals 10.,"If 2x = 10, solge for x."
23,factual,easy,What is the capital of Japan?,Which city serves as Japan's capital?,Waht is the cpaital of Japan?
24,coding,easy,What does SELECT * do in SQL?,Explain what SELECT * accomplishes in SQL.,Wyat does SSLECT * do in SQL?
25,math,easy,What is 345 + 178?,Compute 345 plus 178.,Wnat is 345 + 178?
26,instruction,easy,Explain how a car engine works (brief).,Briefly describe how a car engine functions.,Exlpain how a car engine works (bref).
27,instruction,easy,Define what a database is.,Give a short definition of a database.,Drfine what a database is.
28,coding,easy,How do you print 'Hello' in Python?,What Python command shows the text 'Hello'?,How do you prit 'Hello' in Pyhton?
29,factual,easy,Who painted Starry Night?,Which artist created the painting 'Starry Night'?,Who painted Stwrry Nigt?
30,open_ended,medium,Why is friendship important?,Explain the significance of friendship.,Why is friedship impoetant?
31,open_ended,medium,Describe the feeling of being in nature.,How would you express the experience of spending time in nature?,Describe the feeling of beig in nature.
32,math,easy,What is 15 × 19?,Multiply 15 by 19.,Wat is 15 × 19?
33,math,easy,What is the square root of 256?,Find the value of √256.,Wat is the square root of 256?
34,open_ended,medium,What makes a good leader?,What qualities contribute to strong leadership?,Wht makes a gopd leader?
35,factual,easy,What is the boiling point of water in Celsius?,At what temperature does water boil in Celsius?,What is the boiling point of water in Celsous?
36,open_ended,medium,Why do people enjoy music?,What makes music enjoyable to humans?,Why do peopoe ejoy music?
37,coding,easy,What does len('apple') return?,What is the length output of len('apple')?,What dos len('apple') rrturn?
38,reasoning,medium,"If A > B and B > C, is A > C?",Does A exceed C if A is greater than B and B exceeds C?,"If A > B and B > C, is A > C?"
39,math,easy,What is 980 / 20?,Calculate 980 divided by 20.,Wat is 980 / 20?
40,factual,easy,What is the largest desert in the world?,Which desert is considered the world's largest?,What is the largest desert in the wold?
41,instruction,easy,Define an algorithm.,Give a simple definition of an algorithm.,Define an alogrithm.
42,math,easy,Solve for x: 5x = 125.,What is x if 5x equals 125?,Silve for x: 5x = 125.
43,instruction,easy,Summarize the plot of 'Alice in Wonderland' in one sentence.,Provide a one-sentence summary of 'Alice in Wonderland'.,Sumarize the plot of 'Alice in Wonderland' in one sentence.
44,instruction,easy,Explain gravity simply.,Describe gravity in simple terms.,Explain gravty siply.
45,coding,easy,How do you define a function in Python?,What is the syntax to create a function in Python?,How do you defien a funciton in Python?
46,reasoning,medium,Can two odd numbers sum to an even number?,Does adding two odd numbers result in an even number?,Can two odd nubmers sum to an even nmber?
47,reasoning,medium,"If all birds have feathers and a penguin is a bird, does it have feathers?","Given penguins are birds, do they possess feathers?","If all bitds have feathers and a penguin is a bird, does it have feathrs?"
48,coding,easy,What does return do in a Python function?,Explain the role of the return keyword.,What des return do in a Python function?
49,reasoning,medium,Are all squares rectangles?,Does a square fall under the category of rectangles?,Are all squares rectngles?
50,factual,easy,Who discovered penicillin?,Which scientist is credited with the discovery of penicillin?,Who discovreed penicillin?
51,open_ended,medium,Why do humans value art?,Explain why art is meaningful to people.,Why do humns vlaue art?
52,reasoning,medium,"If 2x = 10, solve for x.",Find x: 2x equals 10.,"If 2x = 10, slove for x."
53,factual,easy,What is the capital of Japan?,Which city serves as Japan's capital?,What is the capitql of Japan?
54,coding,easy,What does SELECT * do in SQL?,Explain what SELECT * accomplishes in SQL.,What does SELCT * do in SQL?
55,math,easy,What is 345 + 178?,Compute 345 plus 178.,Wat is 345 + 178?
56,instruction,easy,Explain how a car engine works (brief).,Briefly describe how a car engine functions.,Exppain how a car engine worsk (brief).
57,instruction,easy,Define what a database is.,Give a short definition of a database.,Define what a datqbase is.
58,coding,easy,How do you print 'Hello' in Python?,What Python command shows the text 'Hello'?,How do you print 'Hllo' in Python?
59,factual,easy,Who painted Starry Night?,Which artist created the painting 'Starry Night'?,Who painted Strary Night?
60,open_ended,medium,Why is friendship important?,Explain the significance of friendship.,Why is friendshjp iportant?
61,open_ended,medium,Describe the feeling of being in nature.,How would you express the experience of spending time in nature?,Descrie the feeling of beng in nature.
62,math,easy,What is 15 × 19?,Multiply 15 by 19.,Whzt is 15 × 19?
63,math,easy,What is the square root of 256?,Find the value of √256.,Wnat is the square rot of 256?
64,open_ended,medium,What makes a good leader?,What qualities contribute to strong leadership?,What makes a glod leader?
65,factual,easy,What is the boiling point of water in Celsius?,At what temperature does water boil in Celsius?,Whta is the boiling point of water in Celsius?
66,open_ended,medium,Why do people enjoy music?,What makes music enjoyable to humans?,Why do people enjy music?
67,coding,easy,What does len('apple') return?,What is the length output of len('apple')?,Whta does len('apple') return?
68,reasoning,medium,"If A > B and B > C, is A > C?",Does A exceed C if A is greater than B and B exceeds C?,"If A > B and B > C, is A > C?"
69,math,easy,What is 980 / 20?,Calculate 980 divided by 20.,Wat is 980 / 20?
70,factual,easy,What is the largest desert in the world?,Which desert is considered the world's largest?,Whst is the largest desert in the workd?
71,instruction,easy,Define an algorithm.,Give a simple definition of an algorithm.,Dfeine an alogrithm.
72,math,easy,Solve for x: 5x = 125.,What is x if 5x equals 125?,Sovle for x: 5x = 125.
73,instruction,easy,Summarize the plot of 'Alice in Wonderland' in one sentence.,Provide a one-sentence summary of 'Alice in Wonderland'.,Summarize the pot of 'Alice in Wonderland' in one sentence.
74,instruction,easy,Explain gravity simply.,Describe gravity in simple terms.,Explain graity simpyl.
75,coding,easy,How do you define a function in Python?,What is the syntax to create a function in Python?,How do you deifne a function in Pytgon?
76,reasoning,medium,Can two odd numbers sum to an even number?,Does adding two odd numbers result in an even number?,Can two odd numbers sum to an even numebr?
77,reasoning,medium,"If all birds have feathers and a penguin is a bird, does it have feathers?","Given penguins are birds, do they possess feathers?","If all birds have feathers and a penguin is a bjrd, does it hsve feathers?"
78,coding,easy,What does return do in a Python function?,Explain the role of the return keyword.,What does return do in a Pyhon function?
79,reasoning,medium,Are all squares rectangles?,Does a square fall under the category of rectangles?,Are all suqares rectanbles?
80,factual,easy,Who discovered penicillin?,Which scientist is credited with the discovery of penicillin?,Who discofered penicililn?
81,open_ended,medium,Why do humans value art?,Explain why art is meaningful to people.,Why do humans vapue art?
82,reasoning,medium,"If 2x = 10, solve for x.",Find x: 2x equals 10.,"If 2x = 10, solev for x."
83,factual,easy,What is the capital of Japan?,Which city serves as Japan's capital?,What is the caiptal of Japan?
84,coding,easy,What does SELECT * do in SQL?,Explain what SELECT * accomplishes in SQL.,What deos SELETC * do in SQL?
85,math,easy,What is 345 + 178?,Compute 345 plus 178.,Wuat is 345 + 178?
86,instruction,easy,Explain how a car engine works (brief).,Briefly describe how a car engine functions.,Expkain how a car engine works (bief).
87,instruction,easy,Define what a database is.,Give a short definition of a database.,Defie what a database is.
88,coding,easy,How do you print 'Hello' in Python?,What Python command shows the text 'Hello'?,How do you print 'Helol' in Python?
